,,,,,,
A dilemma more specific to AI-powered design tools concerns the ML training methods used to generate outputs. This connects to the responsible AI goal of “explainability” – the ability to comprehend how an AI system generates its outputs or makes decisions to identify impacts and potential hidden biases. For example, if an AI tool were trained on residential plans from another country, its spatial outputs might reflect country-specific cultural norms and regulatory requirements. This doesn’t mean that we should abandon the AI tool, but it does obligate us to keep numerous humans (designers) in the loop. Because even if, by regulation, a design technology company is required to disclose its training data and/or training methods, both design knowledge and technical expertise will be needed to understand what that means in practice.

Zooming out, we must also recognize that AI ethics extends beyond human entities and includes our obligations to non-humans – that is, the environment and its myriad life forms. As AI researcher Kate Crawford has shown, AI technologies rely on an enormous and extractive ecosystem, “from harvesting the data made from our daily activities and expressions, to depleting natural resources, and to exploiting labour around the globe.”8

AI technologies are morally significant because they are entangled in and mediate human decision-making in immeasurable ways. Architects, designers and educators must take responsibility for understanding how AI technologies operate– and what opportunities and pitfalls accompany their use in design practice. By enhancing digital literacy, and normalizing and scaffolding ethical reasoning skills in both the profession and in architecture and design education, we can see AI ethics not as a border guard but as an opportunity to “fertilise new ideas as well as weed out bad ones.”9",
22,This might be the most important job in AI,https://www.businessinsider.com/ai-chief-ethics-officer-2024-7,Ned,Industry Article,"This might be the most important job in AI
Lakshmi Varanasi Jul 21, 2024, 7:22 PM GMT+10

Share

Save
Name plate photo illustration.
There's an exciting new job in tech at the intersection of policy, ethics, and AI. Jenny Chang-Rodriguez/BI
A company's chief ethics officer ensures AI is used responsibly.
They define principles for regulating the tech, learn the legal landscape, and liaise with stakeholders.
Those in the role often earn annual salaries in the mid-six figures. 
Insider Today
Sign up to get the inside scoop on today’s biggest stories in markets, tech, and business — delivered daily. Read preview
Email address
Enter your email
Sign up
By clicking “Sign Up”, you accept our Terms of Service and Privacy Policy. You can opt-out at any time by visiting our Preferences page or by clicking ""unsubscribe"" at the bottom of the email.
Bull
The launch of ChatGPT ushered the corporate world into a new era.

The buzzy bot's technology — generative AI — could write emails, produce code, and materialize graphics in minutes. Suddenly, the days in which workers pored over their inboxes and painstakingly crafted presentations seemed like a relic of the past.

Companies, lured by profit and productivity gains, rushed to adopt the technology. According to a May survey from consulting firm Mckinsey & Company, 65% of the more than 1,300 companies it researched said they now regularly use generative AI — double the number using it the year before.

But the risks of misusing the technology loom large. Generative AI can hallucinate, spread misinformation, and reinforce biases against marginalized groups if it's not managed properly. Given that the technology relies on volumes of sensitive data, the potential for data breaches is also high. At worst, though, there's the danger that the more sophisticated it becomes, the less likely it is to align with human values.

With great power, then, comes great responsibility, and companies that make money from generative AI must also ensure they regulate it.

That's where a chief ethics officer comes in.

A critical role in the age of AI
The details of the role vary from company to company but — broadly — they're responsible for determining the impact a company's use of AI might have on the larger society, according to Var Shankar, the chief AI and privacy officer at Enzai, a software platform for AI governance, risk, and compliance. ""So beyond just your company and your bottom line, how does it affect your customers? How does it affect other people in the world? And then how does it affect the environment,"" he told Business Insider. Then comes ""building a program that standardizes and scales those questions every time you use AI.""

It's a role that gives policy nerds and philosophy majors, alongside programming whizzes, a footing in the fast-changing tech industry. And it often comes with a sizable annual paycheck in the mid-six figures.

Right now, though, companies aren't hiring people into these roles fast enough, according to Steve Mills, the chief AI ethics officer at Boston Consulting Group. ""I think there's a lot of talk about risk and principles, but little action to operationalize that within companies,"" he said.

A C-suite level responsibility
Those who are successful in the role ideally have four areas of expertise, according to Mills. They should have a technical grasp over generative AI, experience building and deploying products, an understanding of the major laws and regulations around AI, and significant experience hiring and making decisions at an organization.

Related stories

She interviewed for 15 AI roles before landing a Microsoft offer. It made her realize how the job market has changed.


'Botshit' is an example of how AI is making customer service worse

""Too often, I see people put midlevel managers in charge, and while they may have expertise, desire, and passion, they typically don't have the stature to change things within the organization and rally legal, business, and compliance teams together,"" he said. Every Fortune 500 company using AI at scale needs to charge an executive with overseeing a responsible AI program, he added.

Shankar, a lawyer by training, said that the role doesn't warrant any specific educational background. The most important qualification is understanding a company's data. That means having a handle on the ""ethical implications of the data that you collect, use, where it comes from, where it was before it was in your organization, and what kinds of consent you have around it,"" he said.

He pointed to the example of healthcare providers who could unintentionally perpetuate biases if they don't have a firm grasp of their data. In a study published in Science, hospitals and health insurance companies that used an algorithm to identify patients that would benefit from ""high-risk care management"" ended up prioritizing healthier white patients over sicker black patients. That's the kind of blunder an ethics officer can help companies avoid.

Collaborating across companies and industries
Those in the role should also be able to communicate confidently with various stakeholders.

Christina Montgomery, IBM's vice president, chief privacy and trust officer, and chair of its AI Ethics Board, told BI that her days are usually packed with client meetings and events, alongside other responsibilities.

""I spent a lot of time externally, probably more time lately, in speaking at events and engaging with policymakers and on the external boards because I feel like we have very much an opportunity to influence and determine what the future looks like,"" she said.

She sits on boards like the International Association of Privacy Professionals, which recently launched an Artificial Intelligence Governance Professional certification for individuals who want to lead the field of AI ethics. She also engages with government leaders and other chief ethics officers.

""I think it's absolutely critical that we be talking to each other on a regular basis and sharing best practices, and we do a lot of that across companies,"" she said.

She aims to develop a broader understanding of what's happening on a societal level — something she sees as key to the role.

""My fear at the space that we are at right now is that there's no interoperability globally among all these regulations, and what's expected, and what's right and wrong in terms of what companies are going to have to comply with,"" she said. ""We can't operate in a world that way. So the conversations among companies, governments, and boards are so important right now.""",
23,Are tomorrow’s engineers ready to face AI’s ethical challenges?,https://theconversation.com/are-tomorrows-engineers-ready-to-face-ais-ethical-challenges-213826,Ned,Research Paper,"Are tomorrow’s engineers ready to face AI’s ethical challenges?
A chatbot turns hostile. A test version of a Roomba vacuum collects images of users in private situations. A Black woman is falsely identified as a suspect on the basis of facial recognition software, which tends to be less accurate at identifying women and people of color.

These incidents are not just glitches, but examples of more fundamental problems. As artificial intelligence and machine learning tools become more integrated into daily life, ethical considerations are growing, from privacy issues and race and gender biases in coding to the spread of misinformation.

The general public depends on software engineers and computer scientists to ensure these technologies are created in a safe and ethical manner. As a sociologist and doctoral candidate interested in science, technology, engineering and math education, we are currently researching how engineers in many different fields learn and understand their responsibilities to the public.

Yet our recent research, as well as that of other scholars, points to a troubling reality: The next generation of engineers often seem unprepared to grapple with the social implications of their work. What’s more, some appear apathetic about the moral dilemmas their careers may bring – just as advances in AI intensify such dilemmas.

Make better decisions - find out what the experts think.
Aware, but unprepared
As part of our ongoing research, we interviewed more than 60 electrical engineering and computer science masters students at a top engineering program in the United States. We asked students about their experiences with ethical challenges in engineering, their knowledge of ethical dilemmas in the field and how they would respond to scenarios in the future.

First, the good news: Most students recognized potential dangers of AI and expressed concern about personal privacy and the potential to cause harm – like how race and gender biases can be written into algorithms, intentionally or unintentionally.

One student, for example, expressed dismay at the environmental impact of AI, saying AI companies are using “more and more greenhouse power, [for] minimal benefits.” Others discussed concerns about where and how AIs are being applied, including for military technology and to generate falsified information and images.

When asked, however, “Do you feel equipped to respond in concerning or unethical situations?” students often said no.

“Flat out no. … It is kind of scary,” one student replied. “Do YOU know who I’m supposed to go to?”

Another was troubled by the lack of training: “I [would be] dealing with that with no experience. … Who knows how I’ll react.”

Two young women, one Black and one Asian, sit at a table together as they work on two laptops.
Many students are worried about ethics in their field – but that doesn’t mean they feel prepared to deal with the challenges. The Good Brigade/DigitalVision via Getty Images
Other researchers have similarly found that many engineering students do not feel satisfied with the ethics training they do receive. Common training usually emphasizes professional codes of conduct, rather than the complex socio-technical factors underlying ethical decision-making. Research suggests that even when presented with particular scenarios or case studies, engineering students often struggle to recognize ethical dilemmas.

‘A box to check off’
Accredited engineering programs are required to “include topics related to professional and ethical responsibilities” in some capacity.

Yet ethics training is rarely emphasized in the formal curricula. A study assessing undergraduate STEM curricula in the U.S. found that coverage of ethical issues varied greatly in terms of content, amount and how seriously it is presented. Additionally, an analysis of academic literature about engineering education found that ethics is often considered nonessential training.

Many engineering faculty express dissatisfaction with students’ understanding, but report feeling pressure from engineering colleagues and students themselves to prioritize technical skills in their limited class time.

Researchers in one 2018 study interviewed over 50 engineering faculty and documented hesitancy – and sometimes even outright resistance – toward incorporating public welfare issues into their engineering classes. More than a quarter of professors they interviewed saw ethics and societal impacts as outside “real” engineering work.

About a third of students we interviewed in our ongoing research project share this seeming apathy toward ethics training, referring to ethics classes as “just a box to check off.”

“If I’m paying money to attend ethics class as an engineer, I’m going to be furious,” one said.

These attitudes sometimes extend to how students view engineers’ role in society. One interviewee in our current study, for example, said that an engineer’s “responsibility is just to create that thing, design that thing and … tell people how to use it. [Misusage] issues are not their concern.”

One of us, Erin Cech, followed a cohort of 326 engineering students from four U.S. colleges. This research, published in 2014, suggested that engineers actually became less concerned over the course of their degree about their ethical responsibilities and understanding the public consequences of technology. Following them after they left college, we found that their concerns regarding ethics did not rebound once these new graduates entered the workforce.

Joining the work world
When engineers do receive ethics training as part of their degree, it seems to work.

Along with engineering professor Cynthia Finelli, we conducted a survey of over 500 employed engineers. Engineers who received formal ethics and public welfare training in school are more likely to understand their responsibility to the public in their professional roles, and recognize the need for collective problem solving. Compared to engineers who did not receive training, they were 30% more likely to have noticed an ethical issue in their workplace and 52% more likely to have taken action.

An Asian man wearing glasses stares seriously into space, standing against a holographic background in shades of pink and blue.
The next generation needs to be prepared for ethical questions, not just technical ones. Qi Yang/Moment via Getty Images
Over a quarter of these practicing engineers reported encountering a concerning ethical situation at work. Yet approximately one-third said they have never received training in public welfare – not during their education, and not during their career.

This gap in ethics education raises serious questions about how well-prepared the next generation of engineers will be to navigate the complex ethical landscape of their field, especially when it comes to AI.

To be sure, the burden of watching out for public welfare is not shouldered by engineers, designers and programmers alone. Companies and legislators share the responsibility.

But the people who are designing, testing and fine-tuning this technology are the public’s first line of defense. We believe educational programs owe it to them – and the rest of us – to take this training seriously.",
24,Corporate directors weigh AI ethics at first-of-its-kind forum,https://news.harvard.edu/gazette/story/newsplus/corporate-directors-weigh-ai-ethics-at-first-of-its-kind-forum/,Awais,News Article,,
25,Why Pope Francis thinks the Church should play a part in world leaders’ debate on AI,https://edition.cnn.com/2024/06/12/tech/pope-francis-g7-artificial-intelligence-intl-cmd/index.html,Dan,News Article,,
26,Generative AI in business: how to navigate the ethics,https://intheblack.cpaaustralia.com.au/ethics-and-governance/generative-ai-in-business-navigate-ethics,Ned,Industry Article,,
27,The ethics of artificial intelligence and machine learning,https://thethaiger.com/hot-news/technology/the-ethics-of-artificial-intelligence-and-machine-learning,Dan,News Article,,
28,Readiness Assessment Methodology,https://www.unesco.org/ethics-ai/en/ram,Awais,Industry Article,,
29,ARTIFICIAL INTELLIGENCE Ethical Issues Regarding the Use of Artificial Intelligence,https://auanews.net/issues/articles/2024/february-extra-2024/artificial-intelligence-ethical-issues-regarding-the-use-of-artificial-intelligence,Hiruni,Research Paper,,
30,How to Implement AI — Responsibly,https://hbr.org/2024/05/how-to-implement-ai-responsibly,Rhea,Research Paper,,
31,A Perspective from the UNESCO AI Ethics Business Council at the Eastern Africa sub-Regional Forum on AI,https://www.unesco.org/en/articles/perspective-unesco-ai-ethics-business-council-eastern-africa-sub-regional-forum-ai,Awais,Industry Article,,
32,Addressing equity and ethics in artificial intelligence,https://www.apa.org/monitor/2024/04/addressing-equity-ethics-artificial-intelligence,Awais,Industry Article,,
33,Ethical AI: Ensuring Responsible and Fair Artificial Intelligence,https://www.hp.com/au-en/shop/tech-takes/post/ethical-ai-use,Awais,Industry Article,,
34,Responsible AI is a competitive advantage,https://www.ibm.com/blog/responsible-ai-is-a-competitive-advantage/,Awais,Industry Article,,
35,Pope asks world's religions to push for ethical AI development,https://www.usccb.org/news/2024/pope-asks-worlds-religions-push-ethical-ai-development,Awais,Industry Article,,
36,AI legislations ‘behind’ where the technology is,https://www.news.com.au/finance/ai-legislations-behind-where-the-technology-is/video/5abbe947cdfa4b4793938f433d5bef3c,Ned,News Article,,
37,Pope Francis to weigh in on 'ethical' AI at G7 summit,https://www.news.com.au/breaking-news/pope-francis-to-weigh-in-on-ethical-ai-at-g7-summit/news-story/3833539f0a157776b06d2393ae433dfa,Ned,News Article,,
38,AI Ethics: 8 global tech companies commit to apply UNESCO’s Recommendation,https://www.unesco.org/en/articles/ai-ethics-8-global-tech-companies-commit-apply-unescos-recommendation,Awais,Industry Article,,
39,AI ethical review should empower innovation—not prevent it,https://www.fastcompany.com/91069648/ai-ethical-review-should-empower-innovation-not-prevent-it,Rhea,Industry Article,,
40,"Good AI, bad AI: decoding responsible artificial intelligence",https://www.csiro.au/en/news/All/Articles/2023/November/Responsible-AI-explainer,Awais,Industry Article,,
41,Significant gap in ethical AI implementation: Accenture,https://www.digitalnationaus.com.au/news/significant-gap-in-ethical-ai-implementation-accenture-609900,Dan,Industry Article,,
42,AI Isn’t Ready to Make Unsupervised Decisions,https://hbr.org/2022/09/ai-isnt-ready-to-make-unsupervised-decisions,Hiruni,News Article,,
43,Leading AI Ethics: UNESCO and KOMINFO launch AI Readiness Assessment Methodology in Indonesia,https://www.unesco.org/en/articles/leading-ai-ethics-unesco-and-kominfo-launch-ai-readiness-assessment-methodology-indonesia,Awais,Industry Article,,
44,Exploring the ethics of Artificial Intelligence in art,https://www.artshub.com.au/news/opinions-analysis/exploring-the-ethics-of-artificial-intelligence-in-art-2694121/,Dan,News Article,,
45,Dell teams up with governments worldwide to tackle issues of AI ethics,/www.business-standard.com/companies/news/dell-teams-up-with-governments-worldwide-to-tackle-issues-of-ai-ethics-124052300216_1.html,Rhea,News Article,,
46,The Ethics Of AI: Balancing Innovation With Responsibility,https://www.forbes.com/sites/forbestechcouncil/2024/02/08/the-ethics-of-ai-balancing-innovation-with-responsibility/,Lida,News Article,,
47,"In the rush to adopt AI, ethics and responsibility are taking a backseat at many companies",https://www.businessinsider.com/ai-ethics-risks-responsibility-business-bcg-2024-5,Dan,News Article,,
48,A rapid review of responsible ai frameworks: How to guide the development of ethical ai,https://ieeexplore.ieee.org/ielx7/8566059/8995808/09001063.pdf?tp=&arnumber=9001063&isnumber=8995808&ref=aHR0cHM6Ly9zY2hvbGFyLmdvb2dsZS5jb20uYXUv,Lida,Research Paper,,
49,Ordinary Ethics of Governing AI,https://carnegieendowment.org/2024/04/30/ordinary-ethics-of-governing-ai-pub-92329,Awais,Industry Article,,
50,Principles to Practices for Responsible AI: Closing the Gap,https://arxiv.org/abs/2006.04707,Lida,Research Paper,,
51,The ethics of AI image making,https://www.australiangeographic.com.au/topics/opinion-and-analysis/2023/11/the-ethics-of-ai-photography/,Awais,News Article,,
52,AI Generates Debate Over Newsroom Ethics,https://www.voanews.com/a/ai-generates-debate-over-newsroom-ethics-/7450743.html,Awais,News Article,,
53,Artificial intelligence and ethics: best practices for companies,https://www.orange.com/en/magazines/can-we-move-towards-responsible-ai/artificial-intelligence-and-ethics-best-practices,Awais,Industry Article,,
54,The ethics of advanced AI assistants,https://deepmind.google/discover/blog/the-ethics-of-advanced-ai-assistants/,Awais,Industry Article,,
55,"AI ethics are ignoring children, say Oxford researchers",https://www.ox.ac.uk/news/2024-03-21-ai-ethics-are-ignoring-children-say-oxford-researchers,Awais,Industry Article,,
56,"Fairness, Transparency, and Human Involvement: The Ethical Side of Artificial Intelligence",https://news.sap.com/2024/02/ethical-side-of-artificial-intelligence/,Awais,Industry Article,,
57,Why we need cybersecurity of AI: ethics and responsible innovation,https://www.weforum.org/agenda/2023/12/cybersecurity-ai-ethics-responsible-innovation/,Awais,Industry Article,,
58,For the planet and people: IBM’s focus on AI ethics in sustainability,https://www.ibm.com/blog/for-the-planet-and-people-ibms-focus-on-ai-ethics-in-sustainability/,Awais,Industry Article,,
59,2 in 5 customers are concerned about AI ethics,https://www.marketingtechnews.net/news/2024/may/30/2-in-5-customers-are-concerned-about-ai-ethics/,Awais,News Article,,
60,A look into IBM’s AI ethics governance framework,https://www.ibm.com/blog/a-look-into-ibms-ai-ethics-governance-framework/,Awais,Industry Article,,
61,Davos 2024: Can – and should – leaders aim to regulate AI directly?,https://www.bbc.com/worklife/article/20240118-davos-2024-can-and-should-leaders-aim-to-regulate-ai-directly,Hiruni,News Article,,
62,Responsible AI—two frameworks for ethical design practice,https://ieeexplore.ieee.org/ielx7/8566059/8995808/09001063.pdf?tp=&arnumber=9001063&isnumber=8995808&ref=aHR0cHM6Ly9zY2hvbGFyLmdvb2dsZS5jb20uYXUv,Lida,Research Paper,,
63,A physicists’ guide to the ethics of artificial intelligence,https://www.symmetrymagazine.org/article/a-physicists-guide-to-the-ethics-of-artificial-intelligence?language_content_entity=und,Awais,News Article,,
64,Expanding on ethical considerations of foundation models,https://www.ibm.com/blog/expanding-on-ethical-considerations-of-foundation-models/,Awais,Industry Article,,
65,Of Ethics and Values: A Reflection on the AI versus Artists Discourse,https://moderndiplomacy.eu/2024/07/21/of-ethics-and-values-a-reflection-on-the-ai-versus-artists-discourse/,Rhea,Research Paper,,
66,Tech sector examines the risks and rewards of AI. How two paths converged at Northeastern’s London campus,https://news.northeastern.edu/2024/07/17/women-in-ai-ethics/,Rhea,Research Paper,,
67,AI Ethics: 7 Crucial Qualities Of Ethical Leadership,https://www.forbes.com/sites/bruceweinstein/2024/02/21/ai-7-crucial-qualities-of-ethical-leadership/,Awais,News Article,,
68,Our commitment to ethical and responsible use of AI,https://www.novartis.com/esg/ethics-risk-and-compliance/compliance/our-commitment-ethical-and-responsible-use-ai,Awais,Industry Article,,
69,"Connecting the dots in trustworthy Artificial Intelligence: From AI principles, ethics, and key requirements to responsible AI systems and regulation",https://www.sciencedirect.com/science/article/pii/S1566253523002129,Lida,Research Paper,,
70,AI could transform ethics committees,https://theconversation.com/ai-could-transform-ethics-committees-224424,Rhea,Research Paper,,
71,"How Ethics, Regulations And Guidelines Can Shape Responsible AI",https://www.forbes.com/sites/forbestechcouncil/2024/02/05/how-ethics-regulations-and-guidelines-can-shape-responsible-ai/,Awais,News Article,,
72,From Our Fellows –  From Automation to Agency: The Future of AI Ethics Education,https://cdt.org/insights/from-automation-to-agency-the-future-of-ai-ethics-education/,Awais,Industry Article,,
73,"‘Uncovered, unknown, and uncertain’: Guiding ethics in the age of AI",https://news.yale.edu/2024/02/21/uncovered-unknown-and-uncertain-guiding-ethics-age-ai,Awais,News Article,,
74,How Do You Ensure AI Ethics In Insurtech? ,https://www.corelogic.com/intelligence/ai-ethics-insurance-industry/,Awais,Industry Article,,
75,A Maturity Model for Industries and Organizations of All Types to Adopt Responsible AI—Preliminary Results,https://dl.acm.org/doi/abs/10.1007/978-3-031-49008-8_6,Lida,Research Paper,,
76,Cisco joins Rome Call as AI ethics debate widens,https://newsroom.cisco.com/c/r/newsroom/en/us/a/y2024/m04/cisco-joins-rome-call-as-ai-ethics-debate-widens.html,Awais,Industry Article,,
77,How to reduce the ethical dangers of AI-assisted farming,https://aeon.co/essays/how-to-reduce-the-ethical-dangers-of-ai-assisted-farming,Awais,Industry Article,,
78,Yale Freshman Creates AI Chatbot With Answers on AI Ethics,https://www.insidehighered.com/news/tech-innovation/artificial-intelligence/2024/05/02/yale-freshman-creates-ai-chatbot-answers-ai,Awais,News Article,,
79,"Tackling Bias, Inequality, Lack of Privacy – New WHO Guidelines on AI Ethics and Governance are Released",https://healthpolicy-watch.news/tackling-bias-inequality-lack-of-privacy-new-who-guidelines-on-ai-ethics-and-governance-are-released/,Awais,Industry Article,,
80,NIST Researchers Suggest Historical Precedent for Ethical AI Research,https://www.nist.gov/news-events/news/2024/02/nist-researchers-suggest-historical-precedent-ethical-ai-research,Awais,Industry Article,,
81,Oxford Institute for Ethics in AI to host ground-breaking AI Ethics Conference,https://www.ox.ac.uk/news/2024-06-19-oxford-institute-ethics-ai-host-ground-breaking-ai-ethics-conference,Awais,Industry Article,,
82,Tech Mahindra: The Rise of the AI Ethics Engineer,https://cybermagazine.com/articles/tech-mahindras-new-role-the-ai-ethics-engineer,Awais,Industry Article,,
83,UNESCO wants to assist Bangladesh in ethical AI development,https://coingeek.com/unesco-wants-to-assist-bangladesh-in-ethical-ai-development/,Awais,Industry Article,,
84,"When AI, Ethics and Data Privacy Collide, What Comes Next?",https://www.adp.com/spark/articles/2024/02/when-ai-ethics-and-data-privacy-collide-what-comes-next.aspx,Awais,Industry Article,,
85,"In rush to implement AI, ethics take a backseat at many companies",https://www.businessinsider.com/ai-ethics-risks-responsibility-business-bcg-2024-5,Awais,News Article,,
86,Ethical challenges in AI-enhanced military operations,https://www.frontiersin.org/journals/big-data/articles/10.3389/fdata.2023.1229252/full,Awais,Research Paper,,
87,Adopting and expanding ethical principles for generative artificial intelligence from military to healthcare,https://www.nature.com/articles/s41746-023-00965-x,Awais,Research Paper,,
88,"AI: Tackling Ethics, Equality and Misinformation at Davos",https://sustainabilitymag.com/tech-ai/tackling-ai-ethics-equality-and-misinformation-at-davos,Awais,News Article,,
89,AI will be everywhere. How should we prepare for the ethics around this?,https://www.thenationalnews.com/opinion/comment/2024/05/17/ai-ethics-google-generative/,Dan,News Article,,
90,Address ethical concerns to optimise AI use,https://www.tribuneindia.com/news/comment/address-ethical-concerns-to-optimise-ai-use-640753,Awais,News Article,,
91,"Meta, Apple, Microsoft Expand AI Risk Transparency Amid Pressure",https://news.bloomberglaw.com/esg/meta-apple-microsoft-move-to-fend-off-mounting-ai-concerns,Awais,News Article,,
93,Original sins and dirty secrets: GenAI has an ethics problem. These are the three things it most urgently needs to fix,https://fortune.com/2024/06/27/gen-ai-ethics-original-sins-data-theft-labor-exploitation-environmental-impact/,Dan,News Article,,
94,Column: The ethics of AI,https://www.dailyeasternnews.com/2024/05/28/column-the-ethics-of-ai/,Dan,News Article,,
95,"Philosophy, ethics, and the pursuit of 'responsible' artificial intelligence",https://www.rit.edu/news/philosophy-ethics-and-pursuit-responsible-artificial-intelligence,Dan,News Article,,
96,The Ethics of AI: How Far Is Too Far?,https://www.barna.com/research/ai-ethics/,Rhea,News Article,,
97,How Taylor Swift’s Experience With ‘Deepfakes’ Can Help Students Examine AI Ethics,https://www.edweek.org/technology/how-taylor-swifts-experience-with-deepfakes-can-help-students-examine-ai-ethics/2024/01,Dan,News Article,,
98,"Friar Tech: The Vatican's top AI ethics expert who advises Pope Francis, the UN and Silicon Valley",https://www.euronews.com/next/2024/01/21/friar-tech-the-vaticans-top-ai-ethics-expert-who-advises-pope-francis-the-un-and-silicon-v,Awais,News Article,,
99,"The top 12 people in AI policy, ethics, and research",https://www.businessinsider.com/ai-100-top-12-people-policy-ethics-and-research-2023-11,Awais,News Article,,
100,"Apple Investors Reject Bid for Transparency on AI Risks, Ethics",https://news.bloomberglaw.com/esg/apple-investors-reject-bid-for-transparency-on-ai-risks-ethics,Awais,News Article,,
101,Scarlett Johansson Speaks on Disney ‘Black Widow’ Dispute and AI Ethics with OpenAi: ‘I Don’t Hold a Grudge’,https://whatstrending.com/scarlett-johansson-speaks-on-disney-black-widow-dispute-and-ai-ethics-with-openai-i-dont-hold-a-grudge/,Awais,News Article,,
102,Study: Humans Rate Artificial Intelligence as More ‘Moral’ Than Other People,https://news.gsu.edu/2024/05/06/study-humans-rate-artificial-intelligence-as-more-moral-than-other-people/,Awais,News Article,,